Dosagem	Repeticao	Posicao	Peso	Dose
1000	JJ	5	5.7144	582.8
1000	JJ	6	3.1942	325.77
1000	JJ	7	1.6301	166.25
1000	LL	1	16.93	1726.67
1000	LL	2	39.1556	3993.43
1000	LL	3	20.4374	2084.39
1000	LL	4	6.0143	613.39
1000	LL	5	2.366	241.31
1000	LL	6	1.5117	154.18
1000	LL	7	1.2163	124.05
1000	MM	1	21.7736	2220.66
1000	MM	2	19.3353	1971.98
1000	MM	3	21.4158	2184.17
1000	MM	4	18.1189	1847.92
1000	MM	5	15.0865	1538.65
1000	MM	6	6.2055	632.89
1000	MM	7	5.48	558.9
2000	NN	1	8.0681	822.86
2000	NN	2	6.6145	674.6
2000	NN	3	9.2086	939.17
2000	NN	4	13.4712	1373.91
2000	NN	5	6.1149	623.65
2000	NN	6	2.8063	286.21
2000	NN	7	7.1352	727.71
2000	OO	1	18.6933	1906.51
2000	OO	2	14.71	1500.25
2000	OO	3	11.4042	1163.10
2000	OO	4	17.225	1756.76
2000	OO	5	8.0363	819.61
2000	OO	6	7.8285	798.42
2000	OO	7	5.9641	608.27
2000	PP	1	6.6295	676.13
2000	PP	2	14.8281	1512.30
2000	PP	3	13.9595	1423.71
2000	PP	4	9.8592	1005.53
2000	PP	5	12.6553	1290.70
2000	PP	6	4.2762	436.12
2000	PP	7	5.0773	517.83
2000	QQ	1	12.1437	1238.52
2000	QQ	2	12.8166	1307.15
2000	QQ	3	14.0888	1436.90
2000	QQ	4	13.3675	1363.34
2000	QQ	5	9.917	1011.42
2000	QQ	6	6.6422	677.43
2000	QQ	7	3.564	363.49
2000	RR	1	17.3571	1770.23
2000	RR	2	13.1041	1336.47
2000	RR	3	17.8624	1821.76
2000	RR	4	19.2551	1963.80
2000	RR	5	10.797	1101.17
2000	RR	6	5.8871	600.42
2000	RR	7	3.1415	320.4
2000	SS	1	13.4657	1373.35
2000	SS	2	8.721	889.44
2000	SS	3	19.0776	1945.70
2000	SS	4	10.2305	1043.40
2000	SS	5	12.8712	1312.72
2000	SS	6	3.606	367.77
2000	SS	7	2.8195	287.56
2000	TT	1	19.911	2030.70
2000	TT	2	8.1178	827.92
2000	TT	3	10.3113	1051.64
2000	TT	4	14.238	1452.12
2000	TT	5	8.2247	838.83
2000	TT	6	10.6169	1082.80
2000	TT	7	2.1759	221.92
2000	UU	1	17.2229	1756.54
2000	UU	2	9.4033	959.03
2000	UU	3	14.2229	1450.58
2000	UU	4	13.7072	1397.98
2000	UU	5	15.97	1628.76
2000	UU	6	6.8839	702.08
2000	UU	7	4.7796	487.47
2000	VV	1	8.2957	846.07
2000	VV	2	13.8947	1417.10
2000	VV	3	20.0502	2044.90
2000	VV	4	26.1801	2670.08
2000	VV	5	17.9101	1826.63
2000	VV	6	9.8752	1007.16
2000	VV	7	5.7373	585.14
2000	WW	1	9.3993	958.62
2000	WW	2	13.8631	1413.88
2000	WW	3	30.3936	3099.81
2000	WW	4	7.6111	776.25
2000	WW	5	8.8029	897.8
2000	WW	6	8.5068	867.6
2000	WW	7	1.5074	153.74
2000	XX	1	12.2292	1247.24
2000	XX	2	12.5472	1279.67
2000	XX	3	21.8568	2229.15
2000	XX	4	30.0396	3063.70
2000	XX	5	20.2303	2063.26
2000	XX	6	6.2926	641.77
2000	XX	7	0	0
2000	YY	1	19.459	1984.60
2000	YY	2	13.8943	1417.06
2000	YY	3	20.3608	2076.57
2000	YY	4	28.157	2871.70
2000	YY	5	12.9038	1316.04
2000	YY	6	4.6716	476.45
2000	YY	7	0	0
2000	ZZ	1	22.317	2276.08
2000	ZZ	2	20.4015	2080.72
2000	ZZ	3	24.5848	2507.37
2000	ZZ	4	17.2588	1760.20
2000	ZZ	5	5.7038	581.72
2000	ZZ	6	3.0105	307.04
2000	ZZ	7	0.5872	59.89
2000	AAA	1	26.2702	2679.27
2000	AAA	2	17.8984	1825.44
2000	AAA	3	18.2817	1864.53
2000	AAA	4	10.9769	1119.52
2000	AAA	5	7.3016	744.68
2000	AAA	6	4.8742	497.11
2000	AAA	7	2.2564	230.13
2000	BBB	1	16.5663	1689.58
2000	BBB	2	22.9231	2337.90
2000	BBB	3	13.8233	1409.82
2000	BBB	4	10.9584	1117.63
2000	BBB	5	4.7014	479.49
2000	BBB	6	1.6886	172.22
2000	BBB	7	0	0
